Block Size,Pin,No Pin
225,6.50641e-05,5.64773e-05
400,5.69895e-05,4.88665e-05
625,5.77066e-05,4.97829e-05
900,7.04844e-05,5.80885e-05
1225,6.93239e-05,5.98077e-05
1600,7.10636e-05,8.65366e-05
2025,7.18348e-05,6.2393e-05
2500,7.40327e-05,6.16256e-05
3025,7.27288e-05,6.21453e-05
3600,7.76853e-05,6.55819e-05
50625,5.90589e-05,0.000120046
160000,0.000131335,0.000248844
390625,0.000305546,0.000510937
810000,0.000607461,0.001069850
1500625,0.001107430,0.002165080
2560000,0.001884320,0.003161620
4100625,0.003069470,0.004814120
6250000,0.004606550,0.006790370
9150625,0.006778680,0.010549700
12960000,0.009527120,0.015224000
